%C3%89va_Tardos,Christos_Papadimitriou
%C3%89va_Tardos,G%C3%A1bor_Tardos
%C3%89va_Tardos,Johan_H%C3%A5stad
%C3%89va_Tardos,Joseph_Halpern
%C3%89va_Tardos,Madhu_Sudan
%C3%89va_Tardos,Manindra_Agrawal
%C3%89va_Tardos,Mario_Szegedy
%C3%89va_Tardos,Neeraj_Kayal
%C3%89va_Tardos,Rajeev_Motwani
%C3%89va_Tardos,Sanjeev_Arora
%C3%89va_Tardos,Seinosuke_Toda
%C3%89va_Tardos,Shafi_Goldwasser
%C3%89va_Tardos,Shang-Hua_Teng
%C3%89va_Tardos,Silvio_Micali
%C3%89va_Tardos,Steven_Rudich
%C3%89va_Tardos,Yoav_Freund
Aaron_Sloman,Herbert_A._Simon
Aaron_Sloman,John_McCarthy_(computer_scientist)
Aaron_Sloman,Marvin_Minsky
Ada_Lovelace,Alan_Turing
Ada_Lovelace,Charles_Babbage
Adam_Dunkels,Donald_Norman
Adam_Dunkels,Mark_Weiser
Adam_Dunkels,Vint_Cerf
Adele_Goldberg_(computer_scientist),Alan_Kay
Adele_Goldberg_(computer_scientist),Dan_Ingalls
Adi_Shamir,Alan_Kay
Adi_Shamir,Alan_Perlis
Adi_Shamir,Allen_Newell
Adi_Shamir,Amir_Pnueli
Adi_Shamir,Barbara_Liskov
Adi_Shamir,Charles_Bachman
Adi_Shamir,Charles_E._Leiserson
Adi_Shamir,Charles_P._Thacker
Adi_Shamir,Dana_Scott
Adi_Shamir,Daniel_Sleator
Adi_Shamir,Dennis_Ritchie
Adi_Shamir,Donald_Knuth
Adi_Shamir,Douglas_Engelbart
Adi_Shamir,E._Allen_Emerson
Adi_Shamir,Edgar_F._Codd
Adi_Shamir,Edmund_M._Clarke
Adi_Shamir,Edward_Feigenbaum
Adi_Shamir,Fernando_J._Corbat%C3%B3
Adi_Shamir,Frances_E._Allen
Adi_Shamir,Fred_Brooks
Adi_Shamir,Herbert_A._Simon
Adi_Shamir,Ivan_Sutherland
Adi_Shamir,James_H._Wilkinson
Adi_Shamir,Jim_Gray_(computer_scientist)
Adi_Shamir,John_Backus
Adi_Shamir,John_Cocke
Adi_Shamir,John_Hopcroft
Adi_Shamir,John_McCarthy_(computer_scientist)
Adi_Shamir,Joseph_Sifakis
Adi_Shamir,Judea_Pearl
Adi_Shamir,Juris_Hartmanis
Adi_Shamir,Kenneth_E._Iverson
Adi_Shamir,Kristen_Nygaard
Adi_Shamir,Leonard_Adleman
Adi_Shamir,Leslie_Lamport
Adi_Shamir,Leslie_Valiant
Adi_Shamir,Manuel_Blum
Adi_Shamir,Martin_Hellman
Adi_Shamir,Marvin_Minsky
Adi_Shamir,Michael_O._Rabin
Adi_Shamir,Michael_Stonebraker
Adi_Shamir,Moshe_Vardi
Adi_Shamir,Narendra_Karmarkar
Adi_Shamir,Niklaus_Wirth
Adi_Shamir,Ole-Johan_Dahl
Adi_Shamir,Peter_Naur
Adi_Shamir,Raj_Reddy
Adi_Shamir,Richard_E._Stearns
Adi_Shamir,Richard_Hamming
Adi_Shamir,Richard_Karp
Adi_Shamir,Robert_Tarjan
Adi_Shamir,Robin_Milner
Adi_Shamir,Ron_Rivest
Adi_Shamir,Shafi_Goldwasser
Adi_Shamir,Shimon_Even
Adi_Shamir,Silvio_Micali
Adi_Shamir,Stephen_Cook
Adi_Shamir,Vint_Cerf
Adi_Shamir,Vladimir_Vapnik
Adi_Shamir,Whitfield_Diffie
Adi_Shamir,William_Kahan
Adi_Shamir,Yoav_Freund
Adi_Shamir,Zohar_Manna
Adriaan_van_Wijngaarden,%C3%89va_Tardos
Adriaan_van_Wijngaarden,Edsger_Dijkstra
Adriaan_van_Wijngaarden,Nancy_Lynch
Alan_Kay,Adi_Shamir
Alan_Kay,Alan_Perlis
Alan_Kay,Allen_Newell
Alan_Kay,Amir_Pnueli
Alan_Kay,Barbara_Liskov
Alan_Kay,Butler_W._Lampson
Alan_Kay,Charles_Bachman
Alan_Kay,Charles_P._Thacker
Alan_Kay,Dana_Scott
Alan_Kay,David_C._Evans
Alan_Kay,David_P._Reed
Alan_Kay,Dennis_Ritchie
